date,post-name,r-title,r-url,a-title,a-url,d-title,d-url,notes
2024-01-16,"Tue, Jan 16",Chord Symbols,https://viva.pressbooks.pub/openmusictheory/chapter/chord-symbols/,Chord symbols basics worksheet,https://viva.pressbooks.pub/openmusictheory/chapter/chord-symbols/#assignments,Fill out the getting-to-know-you form,https://forms.office.com/Pages/ResponsePage.aspx?id=VXKFnlffR0ygwAVGRgOAy-R6DEGoI95Pu0sh7qW5mvpUMDk3Vk1aM0UwTjAxM0dLVEYzMzROR0lVMS4u,You will need to do a couple video projects with partners soon. Find a partner now!
2024-01-18,"Thu, Jan 18",Notation software and composition workshop,,"Music Engraving Exercise
",https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/ETaWywkMF9tOrGv_MXkEzOEB9r0dGKLG8LMnYXjBVca5rg?e=5ZDN4b,Chord symbols basics worksheet,https://viva.pressbooks.pub/openmusictheory/chapter/chord-symbols/#assignments,bring laptops today!
2024-01-23,"Tue, Jan 23","Blues harmony
Blues melodies and the blues scale","https://viva.pressbooks.pub/openmusictheory/chapter/blues-harmony/
https://viva.pressbooks.pub/openmusictheory/chapter/blues-melodies-and-the-blues-scale/","Worksheet on 12-bar blues, no jazz
Blues scales worksheet","https://viva.pressbooks.pub/openmusictheory/chapter/blues-harmony/#assignments
https://viva.pressbooks.pub/openmusictheory/chapter/blues-melodies-and-the-blues-scale/#assignments","Music Engraving Exercise
",https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/ETaWywkMF9tOrGv_MXkEzOEB9r0dGKLG8LMnYXjBVca5rg?e=5ZDN4b,"[Upload your engraving exercise here](https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EjtuCHkVt-5Eq1xx1VdLxCoBUJm0TTi4m8UCqNa1QpQQMw).

Heads up: you will need a partner for the assignment over the weekend."
2024-01-25,"Thu, Jan 25",Improvising (bring instruments to class),https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/EdVuFJRMGMNEnfwrLHbIotsBqBQGxACmANLPsxNTMxEgzA?e=2RZ6ev,Improvising with the blues scale,https://viva.pressbooks.pub/openmusictheory/chapter/blues-melodies-and-the-blues-scale/#assignments,"Worksheet on 12-bar blues, no jazz
Blues scales worksheet","https://viva.pressbooks.pub/openmusictheory/chapter/blues-harmony/#assignments
https://viva.pressbooks.pub/openmusictheory/chapter/blues-melodies-and-the-blues-scale/#assignments",Special guest Paul Bratcher will be teaching our lesson on improvisation! I will still be in attendance too.
2024-01-30,"Tue, Jan 30",Blues composition workshop,,Blues composition project,https://viva.pressbooks.pub/openmusictheory/chapter/blues-melodies-and-the-blues-scale/#assignments,Improvising with the blues scale,https://viva.pressbooks.pub/openmusictheory/chapter/blues-melodies-and-the-blues-scale/#assignments,[Upload videos here](https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EjtuCHkVt-5Eq1xx1VdLxCoBUJm0TTi4m8UCqNa1QpQQMw)
2024-02-01,"Thu, Feb 1",Swing rhythms,https://viva.pressbooks.pub/openmusictheory/chapter/swing-rhythms/,Swing Rhythms video,https://viva.pressbooks.pub/openmusictheory/chapter/swing-rhythms/#assignments,Blues composition project,https://viva.pressbooks.pub/openmusictheory/chapter/blues-melodies-and-the-blues-scale/#assignments,Performance day! bring your instruments to class.
2024-02-06,"Tue, Feb 6",Chord symbols: Extensions and Alterations,https://viva.pressbooks.pub/openmusictheory/chapter/chord-symbols/#chapter-2624-section-3,Chord symbols with extensions worksheet,https://viva.pressbooks.pub/openmusictheory/chapter/chord-symbols/#assignments,Swing Rhythms video,https://viva.pressbooks.pub/openmusictheory/chapter/swing-rhythms/#assignments,[Upload videos here](https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EjtuCHkVt-5Eq1xx1VdLxCoBUJm0TTi4m8UCqNa1QpQQMw)
2024-02-08,"Thu, Feb 8",Jazz voicings,https://viva.pressbooks.pub/openmusictheory/chapter/jazz-voicings/,Jazz voicings worksheet,https://viva.pressbooks.pub/openmusictheory/chapter/jazz-voicings/#assignments,Chord symbols with extensions worksheet,https://viva.pressbooks.pub/openmusictheory/chapter/chord-symbols/#assignments,
2024-02-13,"Tue, Feb 13",Tonicization,https://viva.pressbooks.pub/openmusictheory/chapter/tonicization/,Applied Chords worksheet worksheet B without ø7s,https://viva.pressbooks.pub/openmusictheory/chapter/tonicization/#assignments,Jazz voicings worksheet,https://viva.pressbooks.pub/openmusictheory/chapter/jazz-voicings/#assignments,Blues compositions revisions due
2024-02-15,"Thu, Feb 15",ii–V–I,https://viva.pressbooks.pub/openmusictheory/chapter/ii-v-i/,ii–V–I worksheet,https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/Eaf9LmXW8jVPuFoXfBrSN50Bv4dnOjl_hoWpm8XyB42c9g?e=zlAcoi,Applied Chords worksheet worksheet B without ø7s,https://viva.pressbooks.pub/openmusictheory/chapter/tonicization/#assignments,
2024-02-20,"Tue, Feb 20",ii–V–I,https://viva.pressbooks.pub/openmusictheory/chapter/ii-v-i/,Composing with ii–V–I,https://viva.pressbooks.pub/openmusictheory/chapter/ii-v-i/#assignments,ii–V–I worksheet,https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/Eaf9LmXW8jVPuFoXfBrSN50Bv4dnOjl_hoWpm8XyB42c9g?e=zlAcoi,We may also look ahead to embellishing chords and substitutions.
2024-02-22,"Thu, Feb 22","Substitutions
Embellishing chords","https://viva.pressbooks.pub/openmusictheory/chapter/substitutions/
https://viva.pressbooks.pub/openmusictheory/chapter/jazz-embellishing-chords/","Substitutions
Embellishing chords","https://viva.pressbooks.pub/openmusictheory/chapter/substitutions/#assignments
https://viva.pressbooks.pub/openmusictheory/chapter/jazz-embellishing-chords/#assignments",Composing with ii–V–I,https://viva.pressbooks.pub/openmusictheory/chapter/ii-v-i/#assignments,
2024-02-27,"Tue, Feb 27",Bebop composition workshop,,Bebop composition project,https://viva.pressbooks.pub/openmusictheory/chapter/jazz-embellishing-chords/#assignments,"Substitutions
Embellishing chords","https://viva.pressbooks.pub/openmusictheory/chapter/substitutions/#assignments
https://viva.pressbooks.pub/openmusictheory/chapter/jazz-embellishing-chords/#assignments",bring laptops today!
2024-02-29,"Thu, Feb 29",Chord–scale theory ,https://viva.pressbooks.pub/openmusictheory/chapter/chord-scale-theory/,Bebop composition project,https://viva.pressbooks.pub/openmusictheory/chapter/jazz-embellishing-chords/#assignments,Bebop composition project,https://viva.pressbooks.pub/openmusictheory/chapter/jazz-embellishing-chords/#assignments,
2024-03-05,"Tue, Mar 5<br/>Spring break",,,Optional bebop composition revisions,https://viva.pressbooks.pub/openmusictheory/chapter/jazz-embellishing-chords/#assignments,,,Blues compositions can also still be revised.
2024-03-07,"Thu, Mar 7<br/>Spring break",,,Optional bebop composition revisions,https://viva.pressbooks.pub/openmusictheory/chapter/jazz-embellishing-chords/#assignments,,,Blues compositions can also still be revised.
